sku;name;tags;images;description;categories;originalCategory;weight;length;width;height;brand;type;published;Visibility in catalog;is_featured
85TP;85T POWER ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/85tp.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
9UUA.001.58;"TOMTOM 4.3"" & 5"" CARRY CASE";;https://www.micropointsa.co.za/assets/images/products/midrand/original/9uua-001-58.jpg;;Computers Laptops & Electronics > Gadgets > Accessories;ANCILLARY ITEMS > ACCESSORIES;;;;;TOMTOM;simple;1;visible;0
AD010;ANALOG TO DIGITAL AUDIO CONVERTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ad010.jpg,https://www.micropointsa.co.za/assets/images/products/midrand/original/ad010-2.jpg;"<p><strong>ANALOG TO DIGITAL AUDIO CONVERTER - AD010</strong></p><p><strong>Signal Inputs/Output</strong></p><p><strong>Input Audio: L</strong>/R Audio (Stereo)</p><p><strong>Output Audio: Coaxial</strong> and Toslink Digital Audio Connector</p><p><strong>Input Audio Connector:</strong> 2XRCA(R/L) (Stereo)</p><p><strong>Output Audio Connector:&nbsp;</strong>Toslink1XRCA(Coaxial)</p><p><strong>Sampling Rate:</strong>48KHz</p><p><strong>Size(L-W-H):</strong>51X41X26MM</p><p><strong>Environmental</strong></p><p><strong>Operating Temperature:</strong>0 to +70</p><p><strong>Operating Humidity:</strong>10% to 85 % RH (no condensation)</p><p><strong>Storage Temperature: -</strong>10 to +80</p><p><strong>Storage Humidity:</strong>5% to 90 % RH (no condensation)</p><p><strong>Power Requirement &nbsp; &nbsp; &nbsp;</strong></p><p><strong>External Power Supply:&nbsp;</strong>5V DC@1A</p><p><strong>Power Consumption:</strong>1 watt (max)</p><p><strong>Converter Unit: FCC, CE, UL</strong></p><p><strong>Power Supply: UL, CE, FCC</strong></p><p><strong>Accessories Adapter &nbsp; &nbsp; &nbsp;</strong></p><p><strong>AC Power Adapter:</strong> US standard, UK standard and so on</p><p><strong>User Manual:</strong> English Version</p><p><strong>5.0 CONNECTION AND OPERATION</strong></p><p>Before Installation, please make sure all Devices you wish to Connect have been turned off</p><p>Connect the Audio source Device to the Converter using appropriate L/R Cables</p><p>Connect the A/V Receivers or Amplifiers to the Converter using appropriate Toslink or Coaxial Cables</p><p>Insert the DC side of 5V Power Supply into the Converter and then Connect the AC side of the Power Supply into the wall outlet</p><p>Note: When Connected to the Toslink and Coaxial Cables at the same, the Product will give Toslink and Coaxial Output at same time&nbsp;</p><p><strong>PACKAGE CONTENTS</strong></p><p>Main unit (Analog to Digital Audio Converter)</p><p>5V/DC Power Supply</p><p>Users Manual</p><p><strong>Weight (Net):</strong>78g</p><p><strong>Warranty</strong>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</p><p><strong>Limited Warran</strong><strong>ty:1 Year&nbsp;</strong></p><p><br></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
AD010-R;ANALOG TO DIGITAL AUDIO CONVERTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ad010-r-2.jpg,https://www.micropointsa.co.za/assets/images/products/midrand/original/ad010-r.jpg;"<p><strong>ANALOG TO DIGITAL AUDIO CONVERTER - AD010-R -REFURBISHED&nbsp;</strong></p><p><strong>REFURBISHED<a href=""https://www.micropointsa.co.za/products/view/ad010-r-analog-to-digital-audio-converter-9105""></a></strong></p><p><strong>Signal Inputs/Output</strong></p><p><strong>Input Audio: L</strong>/R Audio (Stereo)</p><p><strong>Output Audio: Coaxial</strong> and Toslink Digital Audio Connector</p><p><strong>Input Audio Connector:</strong> 2XRCA(R/L) (Stereo)</p><p><strong>Output Audio Connector:&nbsp;</strong>Toslink1XRCA(Coaxial)</p><p><strong>Sampling Rate:</strong>48KHz</p><p><strong>Size(L-W-H):</strong>51X41X26MM</p><p><strong>Environmental</strong></p><p><strong>Operating Temperature:</strong>0 to +70</p><p><strong>Operating Humidity:</strong>10% to 85 % RH (no condensation)</p><p><strong>Storage Temperature: -</strong>10 to +80</p><p><strong>Storage Humidity:</strong>5% to 90 % RH (no condensation)</p><p><strong>Power Requirement&nbsp;</strong></p><p><strong>External Power Supply:&nbsp;</strong>5V DC@1A</p><p><strong>Power Consumption:</strong>1 watt (max)</p><p><strong>Converter Unit: FCC, CE, UL</strong></p><p><strong>Power Supply: UL, CE, FCC</strong></p><p><strong>Accessories Adapter&nbsp;</strong></p><p><strong>AC Power Adapter:</strong> US standard, UK standard and so on</p><p><strong>User Manual:</strong> English Version</p><p><strong>5.0 CONNECTION AND OPERATION</strong></p><p>Before Installation, please make sure all Devices you wish to Connect have been turned off</p><p>Connect the Audio source Device to the Converter using appropriate L/R Cables</p><p>Connect the A/V Receivers or Amplifiers to the Converter using appropriate Toslink or Coaxial Cables</p><p>Insert the DC side of 5V Power Supply into the Converter and then Connect the AC side of the Power Supply into the wall outlet</p><p>Note: When Connected to the Toslink and Coaxial Cables at the same, the Product will give Toslink and Coaxial Output at same time</p><p><strong>PACKAGE CONTENTS</strong></p><p>Main unit (Analog to Digital Audio Converter)</p><p>5V/DC Power Supply</p><p>Users Manual</p><p><strong>Weight (Net):</strong>78g</p><p><strong>2 MONTHS WARRANTY</strong> </p><p><br></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
AD011;DIGITAL AUDIO TO ANALOG CONVERTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ad011.jpg;"<p><strong>DIGITAL AUDIO TO ANALOG CONVERTER - AD011</strong></p><p><strong>SPECIFICATIONS</strong></p><p>Signal Inputs/Output &nbsp; &nbsp;&nbsp;</p><p>Input Audio &nbsp; &nbsp; &nbsp; &nbsp;Coaxial or Toslink digital audio</p><p>Output Audio &nbsp; &nbsp;L/R audio</p><p><strong>Connector &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</strong></p><p>Input audio connector &nbsp; Toslink?1XRCA(Coaxial)</p><p><strong>Output audio connector:</strong>2XRCA(R/L)</p><p><strong>Sampling rate:</strong>32, 44.1, 48 and 96 KHz</p><p><strong>Size(L-W-H):</strong>51X41X26MM</p><p><strong>Operating Temperature</strong>:0 ? to +70?</p><p><strong>Operating Humidity:</strong>10% to 85 % RH (no condensation)</p><p><strong>Storage Temperature:</strong>-10? to +80?</p><p><strong>Storage Humidity</strong>:5% to 90 % RH (no condensation)</p><p>Power Requirement &nbsp; &nbsp; &nbsp;</p><p><strong>External Power Supply:</strong> 5V DC@2A</p><p><strong>Power Consumption:</strong>0.5 watts (max)</p><p><strong>Converter Unit:</strong>FCC,CE,UL</p><p><strong>Power Supply: &nbsp;</strong>UL,CE,FCC</p><p><strong>Accessories Adapter &nbsp; &nbsp; &nbsp;</strong></p><p><strong>AC Power Adapter:</strong>US standard, UK standard and so on</p><p><strong>User Manual:</strong>English Version</p><p><strong>5.0 CONNECTION AND OPERATION</strong></p><p>Before installation, please make sure all devices you wish to connect have been turned off</p><p>Connect the audio source device to the Converter using appropriate Toslink &nbsp;or Coaxial cables</p><p><strong>PACKAGE CONTENTS</strong></p><p>Main unit (Digital to Analog Audio Converter)</p><p>5V/DC POWER SUPPLY</p><p>USERs Manual.</p><p><strong>Weight (Net):</strong>78g</p><p><strong>Warranty &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;&nbsp;</strong></p><p><strong>Limited Warranty:</strong>1 Year Parts and Labor</p><p>Environmental&nbsp;</p><p><br></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
AD011-R;DIGITAL AUDIO TO ANALOG CONVERTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ad011-r.jpg;"<p><strong>DIGITAL AUDIO TO ANALOG CONVERTER - AD011-R  REFURBISHED</strong></p><p><strong>REFURBISHED</strong></p><p><strong>SPECIFICATIONS</strong></p><p>Signal Inputs/Output</p><p>Input Audio Coaxial or Toslink digital audio</p><p>Output Audio L/R audio</p><p><strong>Connector&nbsp;</strong></p><p>Input audio connector Toslink?1XRCA(Coaxial)</p><p><strong>Output audio connector:</strong>2XRCA(R/L)</p><p><strong>Sampling rate:</strong>32, 44.1, 48 and 96 KHz</p><p><strong>Size(L-W-H):</strong>51X41X26MM</p><p><strong>Operating Temperature</strong>:0 ? to +70?</p><p><strong>Operating Humidity:</strong>10% to 85 % RH (no condensation)</p><p><strong>Storage Temperature:</strong>-10? to +80?</p><p><strong>Storage Humidity</strong>:5% to 90 % RH (no condensation)</p><p>Power Requirement</p><p><strong>External Power Supply:</strong> 5V DC@2A</p><p><strong>Power Consumption:</strong>0.5 watts (max)</p><p><strong>Converter Unit:</strong>FCC,CE,UL</p><p><strong>Power Supply:&nbsp;</strong>UL,CE,FCC</p><p><strong>Accessories Adapter&nbsp;</strong></p><p><strong>AC Power Adapter:</strong>US standard, UK standard and so on</p><p><strong>User Manual:</strong>English Version</p><p><strong>5.0 CONNECTION AND OPERATION</strong></p><p>Before installation, please make sure all devices you wish to connect have been turned off</p><p>Connect the audio source device to the Converter using appropriate Toslink or Coaxial cables</p><p><strong>PACKAGE CONTENTS</strong></p><p>Main unit (Digital to Analog Audio Converter)</p><p>5V/DC POWER SUPPLY</p><p>USERs Manual.</p><p><strong>Weight (Net):</strong>78g</p><p><strong>3 Months Warranty</strong></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > ACCESSORIES;;;;;MICROWORLD;simple;1;visible;0
ADA001;HDMI MALE TO HDMI FEMALE 360-;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada001.jpg;<p><strong>HDMI MALE TO HDMI FEMALE 360- -ADA001</strong></p><p>MicroWorld HDMI To HDMI</p><p>-Male To Female Connector.</p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > HDMI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA002;MINI HDMI MALE TO HDMI FEMALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada002.jpg;<p><strong>MINI HDMI MALE TO HDMI FEMALE ADAPTER - ADA002</strong></p><p>MicroWorld HDMI To Mini HDMI<br>-Female To Male Connector</p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > HDMI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA003;USB FEMALE TO USB FEMALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada003.jpg;<p><strong>USB FEMALE TO USB FEMALE ADAPTER- ADA003</strong></p><p>MicroWorld USB To USB Adapter</p><p>-Female To Female Connector</p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > USB;;;;;MICROWORLD;simple;1;visible;0
ADA004;HDMI MALE TO HDMI FEMALE L-R ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada004.jpg;"<p><strong>HDMI MALE TO HDMI FEMALE L-R ADAPTER - ADA004</strong></p><p><strong>MicroWorld HDMI To HDMI L-Shaped<br></strong></p><p>Male To Female Connector</p><p><br></p><p><strong>&nbsp;</strong></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > HDMI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA005;HDMI MALE TO HDMI FEMALE 90DEG;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada005.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > HDMI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA006;MINI USB MALE TO USB FEMALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada006.jpg;<p><strong>MINI USB MALE TO USB FEMALE ADAPTER- ADA006</strong></p><p><strong>MicroWorld USB To Mini Adapter</strong></p><p>Female To Male Connector</p><p><strong>10 Cm Cable Length</strong></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > USB;;;;;MICROWORLD;simple;1;visible;0
ADA007;MICRO USB MALE TO USB FEMALE - OTG;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada007.jpg;"<p><strong>MICRO USB MALE TO USB FEMALE - OTG - ADA007</strong><strong>&nbsp;</strong></p><p><strong>MicroWorld USB to Micro OTG</strong></p><p>Used Commonly to connect Flash Drives to Smart Phones for Data Transfer</p><p>Female To Male Connector</p><p><br></p>";Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > OTG CABLES;;;;;MICROWORLD;simple;1;visible;0
ADA008;STEREO FEMALE TO STEREO FEMALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada008.png;MicroWorld Stereo To Stereo Adapter<br>    -Female To Female Connector</br>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > STEREO ADAPTORS;;;;;MICROWORLD;simple;1;visible;0
ADA009;VGA MALE TO VGA FEMALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada009.png;<b>VGA Male to Female Adapter</b>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > VGA;;;;;MICROWORLD;simple;1;visible;0
ADA010;ADAPTER SERIAL 9 MALE-9 MALE;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada010.jpg;<p><strong>ADAPTER SERIAL 9 MALE-9 MALE- ADA010</strong></p><p><strong>MicroWorld 9P To 9P adapter</strong></p><p>-Male to Male interface</p><p>-Used for connections to modems, printers, mice, data storage</p><p>Uninterruptible power supplies, and other peripheral devices</p><p>However, RS-232 is hampered by low transmission speed</p><p>Large voltage swing, and large standard connectors</p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > SERIAL;;;;;MICROWORLD;simple;1;visible;0
ADA011;ADAPTER SERIAL 9 FEMALE-9 FEMALE;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada011.jpg;<p><strong>ADAPTER SERIAL 9 FEMALE-9 FEMALE- ADA011</strong></p><p>MicroWorld RS232 9P To 9P</p><p>-Female To Female Connector</p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > SERIAL;;;;;MICROWORLD;simple;1;visible;0
ADA012;VGA MALE TO VGA MALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada012.jpg;<p><strong>VGA MALE TO VGA MALE ADAPTER - ADA012</strong></p><p>MicroWorld VGA Adapter</p><p>Male To Male Connector</p><p><strong>MINI GENDER CHANGER</strong></p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > VGA;;;;;MICROWORLD;simple;1;visible;0
ADA014;VGA MALE TO VGA FEMALE RA 90 DEGREE ADAP;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada014.jpg;<p><strong>VGA MALE TO VGA FEMALE RA 90 DEGREE ADAP - ADA014</strong></p><p><strong>MicroWorld VGA To VGA</strong></p><p>Male To Female Connector</p><p>90 Degree Angle</p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > VGA;;;;;MICROWORLD;simple;1;visible;0
ADA019;DVI (24+1) MALE TO HDMI MALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada019.png;<p><strong>DVI (24+1) MALE TO HDMI MALE ADAPTER - ADA019</strong></p><p>MicroWorld DVI-D To HDMI Adapter</p><p>Male to Male Connector</p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > DVI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA020;STEREO MALE TO 2X STEREO  FEMALE ADAPTOR;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada020.jpg;<p><strong>STEREO MALE TO 2X STEREO FEMALE ADAPTOR-ADA020</strong></p><p><strong>MicroWorld Stereo to 2X Female Stereo Adapter</strong></p><p>-Adapter which splits to 2X audio jack outputs</p><p>-Commonly used for connecting two sets of earphones or speakers to a mobile device</p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > STEREO ADAPTORS;;;;;MICROWORLD;simple;1;visible;0
ADA023;RS232 9PIN FEMALE SERIAL TO RJ45 CONVERT;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada023.png;<p><strong>RS232 9PIN FEMALE SERIAL TO RJ45 CONVERT- ADA023</strong></p><p>Use this DB9 to RJ45 adapter to convert any standard 9-pin DB port to a standard RJ45 port</p><p>These modular adapters comes unassembled and are not functional until they are assembled</p><p>There is no universal way to assemble these adapters since it depends on your application and device</p><p>But we here provide a DB9 to RJ45 assembling guide</p><p>A DB9 to RJ45 adapter as this is the easiest and most reliable way of converting a DB9 connector to a RJ45 jack</p><p>It can be used in combination with any of our serial converters to change the DB9 port to RJ45</p><p><br></p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > SERIAL;;;;;MICROWORLD;simple;1;visible;0
ADA024;RS232 9PIN MALE SERIAL TO RJ45 CONVERT;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada024.jpg;<p><strong>RS232 9PIN MALE SERIAL TO RJ45 CONVERT- ADA024</strong></p><p><strong>MicroWorld RS232 To RJ45 Convertor</strong></p><p>-ADAPTERS SERIAL</p><p>-Converts RS232 To RJ45 Network Port</p>;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > SERIAL;;;;;MICROWORLD;simple;1;visible;0
ADA026;DVI (24+5) MALE TO HDMI MALE ADAPTER;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada026.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > DVI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA027;DVI-I MALE TO HDMI FEMALE;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada027.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > DVI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA099;STEREO MALE TO 2 X RCA FEMALE;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada099.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > STEREO ADAPTORS;;;;;MICROWORLD;simple;1;visible;0
ADA100;HDMI MALE TO MICRO HDMI FEMALE;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada100.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > HDMI ADAPTERS;;;;;MICROWORLD;simple;1;visible;0
ADA1000;MICRO USB TO FEMALE USB ADAPTOR;;https://www.micropointsa.co.za/assets/images/products/midrand/original/ada1000.jpg;;Computers Laptops & Electronics > Connectors Adaptors & Converters;ADAPTERS > USB;;;;;MICROWORLD;simple;1;visible;0
